                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 0.7933,                 1.2416,                0.43201,                0.93666,                0.91121,                0.93584,                0.95166,                0.68682,                0.90562,                0.91142,                0.94613,                0.65113,                 0.8838,                 1.3396,                0.46184,                 1.0018,               0.007723,               0.007723,               0.007723
                     25,                0.78391,                 1.2266,                0.42553,                0.94057,                0.93906,                0.88567,                0.94312,                0.68185,                 0.9457,                0.85348,                0.92706,                0.62857,                0.88809,                  1.308,                0.44507,                 1.0048,               0.007624,               0.007624,               0.007624
                     26,                0.79598,                 1.2362,                0.42525,                0.93987,                0.91712,                 0.9334,                0.95749,                 0.7008,                0.89481,                0.91163,                0.94763,                0.65482,                0.84212,                 1.2777,                0.44056,                 0.9729,               0.007525,               0.007525,               0.007525
                     27,                0.77646,                 1.2056,                0.41461,                0.92925,                0.88294,                0.93696,                0.94819,                0.68564,                0.89457,                0.88365,                0.93149,                0.64823,                0.86218,                 1.3499,                0.44931,                0.98808,               0.007426,               0.007426,               0.007426
                     28,                0.78185,                 1.2195,                0.41167,                0.93678,                0.94433,                0.90128,                0.95108,                0.68526,                0.92441,                0.88495,                0.93522,                0.64839,                0.84387,                  1.252,                0.44668,                0.96825,               0.007327,               0.007327,               0.007327
                     29,                0.76717,                 1.2163,                0.40658,                0.92707,                 0.9176,                0.90652,                0.93993,                0.68153,                0.91198,                0.88712,                0.92983,                0.61885,                0.85528,                 1.3715,                0.45185,                 0.9885,               0.007228,               0.007228,               0.007228
                     30,                 0.7778,                 1.2245,                0.40484,                0.93149,                 0.9073,                0.92809,                0.94698,                   0.69,                0.90021,                0.90573,                0.93723,                0.64353,                0.84325,                 1.3218,                 0.4457,                 0.9771,               0.007129,               0.007129,               0.007129
                     31,                0.75904,                 1.1963,                0.40328,                0.92596,                0.93926,                0.92748,                0.95276,                0.69681,                0.92541,                0.90275,                0.93891,                0.65045,                0.84769,                 1.3078,                0.42773,                0.97137,                0.00703,                0.00703,                0.00703
                     32,                0.76082,                 1.2096,                0.39912,                0.92815,                0.94277,                 0.9239,                0.95866,                0.70283,                0.92415,                0.91921,                0.94828,                0.64781,                0.84181,                 1.3139,                0.42531,                0.97195,               0.006931,               0.006931,               0.006931
                     33,                0.75394,                  1.195,                0.39647,                 0.9262,                0.91764,                0.92362,                0.94932,                0.67775,                0.93517,                0.88528,                0.93969,                0.64087,                0.87974,                 1.2865,                0.44278,                0.99159,               0.006832,               0.006832,               0.006832
                     34,                0.75389,                 1.1821,                0.39866,                0.92089,                0.92221,                0.92318,                0.94934,                0.69136,                0.91221,                0.90759,                0.93791,                0.64597,                0.85764,                 1.3366,                0.43729,                0.98474,               0.006733,               0.006733,               0.006733
                     35,                0.75231,                 1.1777,                0.39005,                0.91515,                0.92333,                0.92112,                0.94988,                0.69871,                 0.9087,                0.90674,                0.94503,                0.64322,                 0.8427,                 1.3339,                0.43039,                0.97845,               0.006634,               0.006634,               0.006634
                     36,                0.74555,                 1.1861,                0.39057,                0.92069,                0.92529,                 0.9334,                0.95342,                0.70599,                0.90526,                0.91332,                0.94861,                0.65613,                0.84671,                 1.3085,                0.41831,                0.98492,               0.006535,               0.006535,               0.006535
                     37,                0.73976,                  1.155,                0.38693,                0.91646,                0.93177,                0.90793,                0.94913,                0.70619,                0.94306,                0.88646,                0.94244,                0.65527,                0.84074,                 1.3441,                0.41587,                0.97495,               0.006436,               0.006436,               0.006436
                     38,                0.73174,                 1.1464,                0.37774,                0.91938,                0.92044,                0.91163,                 0.9375,                0.69127,                0.94708,                0.88454,                0.94077,                 0.6456,                0.84993,                 1.3783,                0.41517,                0.97758,               0.006337,               0.006337,               0.006337
                     39,                0.72753,                  1.145,                 0.3707,                0.90913,                0.93651,                0.92292,                0.94759,                0.69631,                0.93165,                0.91213,                0.94303,                0.65205,                0.84837,                 1.3035,                0.41476,                0.97893,               0.006238,               0.006238,               0.006238
                     40,                0.72633,                 1.1546,                0.37083,                0.91797,                0.93099,                 0.9327,                0.94188,                0.69132,                 0.9157,                0.91315,                0.93861,                 0.6478,                0.85183,                 1.2928,                0.41452,                0.98463,               0.006139,               0.006139,               0.006139
                     41,                0.71723,                 1.1441,                0.36992,                0.91411,                0.93091,                 0.9334,                0.95193,                0.69858,                0.91947,                0.92007,                0.94316,                0.63033,                0.86122,                 1.2937,                0.40741,                0.98713,                0.00604,                0.00604,                0.00604
                     42,                0.72596,                 1.1471,                0.37438,                0.91149,                0.94097,                0.92908,                0.95619,                0.70586,                0.92832,                0.90421,                0.93777,                0.65432,                0.83816,                 1.3049,                0.39813,                0.97233,               0.005941,               0.005941,               0.005941
                     43,                0.72001,                 1.1455,                0.36396,                   0.91,                  0.937,                0.92038,                0.95355,                0.69385,                0.91317,                0.90344,                0.93989,                0.64913,                0.86401,                 1.3128,                0.42654,                 0.9837,               0.005842,               0.005842,               0.005842
                     44,                0.72235,                 1.1558,                0.36454,                0.91543,                 0.9443,                0.92184,                0.95571,                0.70693,                  0.929,                0.90087,                 0.9346,                0.64888,                0.81799,                 1.3089,                0.40956,                0.96113,               0.005743,               0.005743,               0.005743
                     45,                0.71205,                 1.1268,                0.35911,                0.90932,                0.95513,                0.92252,                0.95638,                0.70333,                0.92593,                0.91599,                 0.9523,                0.65007,                0.84893,                 1.3156,                0.40901,                0.97716,               0.005644,               0.005644,               0.005644
